CKY_ART;DESCR;CATEGORIA;COSTO
0000000314;!DVD-R VERBATIM 16X CAKE;11;7,794
0000000315;!DVD-R VERBATIM 16X CAKE (10;11;138,24
0000000316;!DVD-R VERBATIM 16X CAKE (20;11;66,3
0000000317;!DVD-R VERBATIM 16X CAKE (60;11;183,9
0000000318;!DVD-R VERBATIM 16X CAKE (12;11;360,3
0000000319;!<LETTORE FLOPPY DISK 1,44 N;27;10,68
0000000320;!HARDDISK MAXTOR 120 GB 7200;33;85,61535
0000000321;!GRUPPODI CONTINUITA MICROED;32;70,5
0000000322;!CAVO FLOPPY ROUND;7;9,585
0000000323;!CABLAGGIO;12;8,25
0000000324;!CONTROLLER PCI FIREWIRE;21;14,925
0000000325;!MONITOR LG L1715S 17 LCD;47;269,33805
0000000326;!CD-R 80 MIN RIDATA CAKE (10;48;22,5
0000000327;!CASE HANTOL H901B 450 WATT;6;43,56585
0000000328;!CD-R 80 MIN RIDATA;48;7,65
0000000329;!SCHEDA MADRE ASUS P5KPL-CM;35;55,02
0000000330;!PC ENTRY LEVEL AMD LE-1100;13;224,43
0000000331;!PC ACER VTM460 (PS.M46C6.30;13;373,725
0000000332;!TV LCD 32 PHILIPS (32PFL54;47;456
0000000333;!MEMORIA PEN DRIVE 128 MB US;42;12,36
0000000334;!PC ATHLON 64 X2 4400/1GB/HD;13;245,535
0000000335;!PC TOP LEVEL INTEL 550 3,4G;13;1019,25
0000000336;!MONITORNILOX 171M4 17 LCD;47;217,5
0000000337;!MONITORNILOX 190M1 19 LCD;47;292,5
0000000338;!DVD-R TDK 8X CAKE 10;11;7,92495
0000000339;!DVD-R TDK 8X CAKE 10 (100PZ;11;50,8332
0000000340;!MEMORIA DIMM 512 MB PC133 M;29;25,65
0000000341;!DVD-R TDK 8X CAKE 10 (200PZ;11;92,50005
0000000342;!DVD-R TDK 8X CAKE 10 (600PZ;11;262,5
0000000343;!DVD-R TDK 8X CAKE 10 (1200P;11;517,5
0000000344;!MASTERIZZATORE DVD PIONEER;28;29,475
0000000345;!MASTERIZZATORE DVD NEC 3540;28;55,5
0000000346;!SOFTWARE NORTON INTERNET SE;69;47,745
0000000347;!MONITOR PHILIPS 170S6FS 17;47;189,3141
0000000348;!VENTOLA PER VGA;77;15,9
0000000349;!MOUSE PAD IPAD LARGE CON LE;18;20,895
0000000350;!ADATTATORE IRDA USB PER INF;1;10,95
0000000351;!MOUSE PAD IPAD SMALL CON LE;18;15,54
0000000352;!BASE PER CASE STANDARD I-ST;1;24,915
0000000353;!TV LCD 40 SAMSUNG LE40A455;47;777
0000000354;!CARRELLO PORTA PC IN METALL;1;15,12
0000000355;!KIT APPLICATORE ETICHETTE P;44;22,455
0000000356;!MOUSE OTTICO PS/2 STANDARD;50;11,1
0000000357;!CASE HANTOL DT808L 450WATT;6;37,47
0000000358;!CASE HANTOL H511S/F 450WATT;6;54,168
0000000359;!FOTOCAMERADIGITALE HP PHOTO;15;167,61
0000000360;!MOUSE OTTICO MINI WIRELESS;50;17,025
0000000361;!CARTUCCIA COMPATIBILE HANTO;43;9,42
0000000362;!CARTUCCIA COMPATIBILE HANTO;80;9,42
0000000363;!FLOPPY DISK VERGINI 1,44 OE;10;9,945
0000000364;!CARTUCCIA COMPATIBILE CANON;43;8,475
0000000365;!CARTUCCIACOMPATIBILE CANON;43;8,475
0000000366;!CARTUCCIA COMPATIBILE CANON;43;8,445
0000000367;!CARTUCCIA COMPATIBILE CANON;43;8,475
0000000368;!CD-R 80 MIN MEDIA CAKE (200;48;32,25
0000000369;!MASTERIZZATOREDVD PIONEER 1;28;62,1
0000000370;!CD-R 80 MIN MEDIA CAKE (600;48;82,5
0000000371;!DVD-R ARITA 8X/16X CAKE 50;11;7,68
0000000372;!CPU INTEL PENTIUM 4 650 3.4;20;286,75545
0000000373;!MASTERIZZATOREDVD PIONEER 1;28;62,1
0000000374;!CASEHANTOL H7610A 450 WATT;6;39,795
0000000375;!DVD -R TRAXDATA 8X/16X CAKE;11;22,5
0000000376;!DVD-R MEDIA 16X (200PZ);11;55,5
0000000377;!DVD-R MEDIA 16X (600PZ);11;151,5
0000000378;!DVD-R MEDIA 16X (1200PZ);11;295,5
0000000379;!CASEHANTOL H7610BK 450WATT;6;39,7875
0000000380;!CASEHANTOL HH7610BK/F 500 W;6;47,34495
0000000381;!DVD+R MEDIA 8X;11;7,875
0000000382;!SISTEMA DI SORVEGLIANZA ALP;92;526,2
0000000383;!DVD+R MEDIA 8X (100PZ);11;45
0000000384;!DVD+R MEDIA 8X (200PZ);11;82,5
0000000385;!DVD+R MEDIA 8X (600PZ);11;232,5
0000000386;!DVD+R MEDIA 8X (1200PZ);11;457,5
0000000387;!DVD+R MEDIA 16X;11;7,8126
0000000388;!DVD+R MEDIA 16X (100PZ);11;38,76
0000000389;!DVD+R MEDIA 16X (200PZ);11;70,005
0000000390;!DVD+R MEDIA 16X (600PZ);11;195
0000000391;!DVD+R MEDIA 16X (1200PZ);11;382,5
0000000392;!DVD+RW MEDIA 4X;11;8,4
0000000393;!-CARTUCCIA COMPATIBILE CANO;43;8,145
0000000394;!CARTUCCIACOMPATIBILE CANON;43;8,16
0000000395;!DVD+RW MEDIA 4X (50PZ);11;52,5
0000000396;!DVD+RW MEDIA 4X (100PZ);11;97,5
0000000397;!DVD+RW MEDIA 4X (200PZ);11;187,5
0000000398;!DVD+RW MEDIA 4X (600PZ);11;547,5
0000000399;!MEMORIA DDR3 TRANSCEND 2 GB;40;37,14
0000000400;!DVD+RW MEDIA 4X (1200PZ);11;1087,5
0000000401;!DVD+R DUAL LAYER DATASAFE;11;12,45
0000000402;!DVD+R DUAL LAYER TRAXDATA;11;7,83
0000000403;!DVD+R DUAL LAYER DATASAFE (;11;106,5
0000000404;!COMPACT FLASH 128 MB;42;15,75
0000000405;!COMPACT FLASH 256 MB;42;13,5
0000000406;!DVD+R DUAL LAYER DATASAFE (;11;255
0000000407;!SISTEMA OPERATIVO WINDOWS X;69;87,375
0000000408;!CAVO USB MINI AM/4P 3 MT;7;9,24
0000000409;!MULTIMEDIA CARD 128 MB;42;15
0000000410;!SECURE DIGITAL 256 MB;42;20,27415
0000000411;!PINZA A CRIMPARE PLUG 6/8 P;53;16,5
0000000412;!SCHEDAPINNACLE PCTV 40I PCI;49;58,95
0000000413;!DIFFERENZA CONSEGNA;12;7,5
